Region_predict,Level_01,Level_02
AT_AUD,CX,AUD
AT_CNU,NA,NA
AT_CTXsp,CX,CTXsp
AT_ECT,CX,COM
AT_ENTI,CX,ENTI
AT_FB,NA,FB
AT_FB_HY,BS,HY
AT_FB_TH,BS,TH
AT_HPd_CA1_slm,HP,HPd
AT_HPd_CA1_so,HP,HPd
AT_HPd_CA1_sr,HP,HPd
AT_HPd_CA2_slm,HP,HPd
AT_HPd_CA2_so,HP,HPd
AT_HPd_CA2_sr,HP,HPd
AT_HPd_CA3_slm,HP,HPd
AT_HPd_CA3_slu,HP,HPd
AT_HPd_CA3_so,HP,HPd
AT_HPd_CA3_sr,HP,HPd
AT_HPd_DG_mo,HP,HPd
AT_HPd_DG_po,HP,HPd
AT_HPs_CA1_sp,HP,HPs
AT_HPs_CA2_sp,HP,HPs
AT_HPs_CA3_sp,HP,HPs
AT_HPs_DG_sp,HP,HPs
AT_HY,BS,HY
AT_MB,NA,NA
AT_OLF,CX,OLF
AT_PERI,CX,COM
AT_PTL,CX,PTL
AT_RSP,CX,RSP
AT_SSp,CX,SSp
AT_TE,CX,COM
AT_TH,BS,TH
AT_VL,NA,NA
unknown,NA,NA
